kommunId;kommun;totalBefolkning;forskningUtbildning;eftergymnasial3Plus;eftergymnasialMindre3;gymnasial3Ar;gymnasialHogst2Ar;grundskola;forgymnasial;kommunNormalized
760;Uppvidinge;4436;0.14;0.12;0.29;0.25;0.13;0.03;0.04;uppvidinge
761;Lessebo;3887;0.17;0.14;0.25;0.23;0.12;0.05;0.03;lessebo
763;Tingsryd;5729;0.16;0.13;0.30;0.25;0.10;0.03;0.03;tingsryd
764;Alvesta;9566;0.19;0.14;0.29;0.22;0.09;0.04;0.02;alvesta
765;Älmhult;8938;0.29;0.15;0.25;0.17;0.07;0.03;0.04;almhult
767;Markaryd;4860;0.15;0.12;0.30;0.24;0.11;0.03;0.04;markaryd
780;Växjö;48972;0.33;0.18;0.23;0.16;0.06;0.03;0.02;vaxjo
781;Ljungby;14217;0.19;0.15;0.29;0.23;0.07;0.02;0.03;ljungby
821;Högsby;2496;0.15;0.12;0.26;0.27;0.12;0.03;0.05;hogsby
834;Torsås;3311;0.19;0.13;0.30;0.24;0.11;0.01;0.02;torsas
840;Mörbylånga;7584;0.30;0.15;0.27;0.18;0.07;0.01;0.02;morbylanga
860;Hultsfred;6439;0.14;0.13;0.27;0.26;0.13;0.04;0.03;hultsfred
861;Mönsterås;6321;0.18;0.14;0.29;0.25;0.10;0.02;0.02;monsteras
862;Emmaboda;4355;0.16;0.14;0.28;0.24;0.11;0.03;0.03;emmaboda
880;Kalmar;37017;0.32;0.17;0.25;0.16;0.06;0.02;0.02;kalmar
881;Nybro;9777;0.18;0.15;0.28;0.23;0.11;0.03;0.03;nybro
882;Oskarshamn;13307;0.19;0.16;0.28;0.24;0.09;0.02;0.02;oskarshamn
883;Västervik;16944;0.22;0.16;0.27;0.23;0.09;0.02;0.01;vastervik
884;Vimmerby;7509;0.17;0.13;0.33;0.22;0.10;0.03;0.02;vimmerby
885;Borgholm;4610;0.20;0.14;0.30;0.23;0.09;0.01;0.02;borgholm
980;Gotland;29452;0.26;0.15;0.29;0.20;0.08;0.01;0.02;gotland
